Título do episódio,ID do episódio,Reproduções,Hora de publicação (UTC),Classificação,Estúdio,Convidado Externo?,Views,Curtidas,Comentários,Compartilhamentos,Compartilhamentos de externos,Comentários de Externos
Introdução ao Data Circle Podcast,86874639,49,"17/05/2024, 17:02:04",16,,,,,,,,
EP001 - Artefact Brasil: O poder da IA nos negócios,87374915,244,"03/06/2024, 15:00:00",1,Não,Não,,62,5,25,0,0
EP002 - Carreira de Cientista de Dados,87783790,131,"10/06/2024, 09:00:00",3,Não,Não,,53,5,7,0,1
EP003 - AI as Business Unit,88059696,119,"17/06/2024, 09:00:00",5,Não,Não,,75,6,11,0,2
EP004 - Migração de Carreira e Engenharia de Dados,88330554,123,"24/06/2024, 09:00:00",4,Não,Não,,68,9,8,1,2
EP005 - Carreira de Data Consulting,88624251,83,"01/07/2024, 09:00:00",8,Não,Não,,60,4,8,0,0
EP006 - Data Marketing,88909159,73,"08/07/2024, 09:00:00",11,Não,Não,,67,7,7,0,1
EP007 - GenAI: Do básico até a aplicação,89208395,81,"15/07/2024, 09:00:00",9,Não,Não,,65,1,11,0,1
EP008 - HEINEKEN - Um case de sucesso de AI em uma gigante!,89467964,210,"22/07/2024, 09:00:00",2,Sim,Sim,,69,4,15,4,1
EP009 - Implementação de uma Customer Data Platform (CDP),89741760,80,"29/07/2024, 09:00:00",10,Não,Não,,80,0,7,0,0
EP010 - Cultura Organizacional: Princípios e Valores que Auxiliam o Sucesso da Organização,90015356,105,"05/08/2024, 09:00:00",6,Sim,Não,,100,4,23,1,0
EP011 - Retail e Dados: Transformando o Varejo com Insights,90304291,88,"12/08/2024, 09:00:00",7,Não,Não,,46,1,12,0,1
EP012 - WebApps,90574371,55,"19/08/2024, 09:00:00",14,Não,Não,,67,3,12,0,0
EP013 - People Analytics,90866605,72,"26/08/2024, 15:00:00",12,Sim,Não,,49,2,17,2,1
EP014 - Oportunidades na Área de Benefícios,91165236,50,"02/09/2024, 09:00:00",15,Não,Não,,72,2,24,0,0
EP015 - GenAI na Prática,91391780,67,"09/09/2024, 09:00:00",13,Sim,Não,,56,7,23,0,1
EP016 - Data Mesh: Estruturando o Futuro dos Dados,91685528,42,"16/09/2024, 03:06:00",17,Não,Não,,,,,,
