DATA,MR08,GROSS MARGIN,CONSULTING & DATA,ACTIVATION,CREATION,Artefact School of Data B2C,OPEN INNOVATION,CONTRIBUTION MARGIN,CM %,CONSULTING & DATA_1,CM %_2,ACTIVATION_3,CM %_4,CREATION_5,CM %_6,Artefact School of Data B2C_7,CM %_8,OPEN INNOVATION_9,CM %_10,INDIRECT & OH,INDIRECT COSTS,OVERHEADS,OTHER REVENUE,EBITDA,EBITDA %,Contribution Margin 2,SCHOOL OF DATA,SCHOOL OF DATA_7
01/01/2023,,2829.150552,2791.578,38,0,,,1187,0.42,1180,0.53,7,0.18,0,N/A,,N/A,,N/A,282,103,179,0,904,0.32,1187,0,0
01/02/2023,,2447.272541,2409.7,38,0,,,767,0.31,762,0.35,5,0.14,0,N/A,,N/A,,N/A,365,103,262,0,403,0.16,767,0,0
01/03/2023,,2295.871089,2258.2985,38,0,,,568,0.25,563,0.26,5,0.13,0,N/A,,N/A,,N/A,313,113,200,0,254,0.11,568,0,0
01/04/2023,,2373.928234,2338.7298,35,0,,,633,0.27,630,0.28,3,0.08,0,N/A,,N/A,,N/A,302,115,187,0,330,0.14,633,0,0
01/05/2023,,2532.797782,2497.5994,35,0,,,846,0.33,844,0.32,2,0.07,0,N/A,,N/A,,N/A,398,116,282,0,448,0.18,846,0,0
01/06/2023,,2417.144237,2381.9458,35,0,,,730,0.3,727,0.29,3,0.07,0,N/A,,N/A,,N/A,419,115,304,0,310,0.13,730,0,0
01/07/2023,,2289.634975,2244.6491,45,0,,,571,0.25,559,0.22,12,0.28,0,N/A,,N/A,,N/A,335,116,219,0,237,0.1,571,0,0
01/08/2023,,3296.214167,3251.2283,45,0,,,1417,0.43,1405,0.46,12,0.27,0,N/A,,N/A,,N/A,291,110,181,0,1126,0.34,1417,0,0
01/09/2023,,3104.747172,3059.7613,45,0,,,1055,0.34,1047,0.32,8,0.17,0,N/A,,N/A,,N/A,392,124,268,0,663,0.21,1055,0,0
01/10/2023,,3622.148172,3577.8015,44,0,,,1515,0.42,1525,0.41,-10,-0.23,0,N/A,,N/A,,N/A,207,91,116,0,1307,0.36,1515,0,0
01/11/2023,,3953.060525,3908.7139,44,0,,,1817,0.46,1827,0.44,-10,-0.23,0,N/A,,N/A,,N/A,536,105,431,0,1281,0.32,1817,0,0
01/12/2023,,3701.290771,3498.7326,203,0,,,1595,0.43,1447,0.4,148,0.73,0,N/A,,N/A,,N/A,445,105,340,0,1150,0.31,1595,0,0
01/01/2024,3310,3323.71439,3312.25876,11.45563,0,0,0,,0.3488065251,1190.34112,0.3593744349,-31.00785333,-2.70677853,0,N/A,0,N/A,0,N/A,490.513645,97.41579167,393.0978533,0,668.8196219,0.2012265626,,,
01/12/2024,3411,3388.343808,3310.283808,78.06,0,0,0,,0.2530740436,825.184042,0.249278941,32.31782667,0.4140126398,0,N/A,0,N/A,0,N/A,523.7974608,164.7074608,359.09,0,333.7044079,0.09848599399,,,
01/01/2025,3492.79,3492.79,3394.13,98.66,0,0,0,617.46,0.1767813124,564.5,0.1663165524,52.96,0.5367930266,0,N/A,0,N/A,0,N/A,585.62,166.41,419.21,0,31.84,0.009115921656,617.46,,
01/04/2024,3592,3591.86386,3578.56073,13.30313,0,0,0,,0.3152460814,1161.48136,0.3245666199,-29.16035333,-2.19199191,0,N/A,0,N/A,0,N/A,469.3217917,110.2317917,359.09,0,662.9992152,0.1845836148,,,
01/02/2024,3726,3726.11885,3720.17889,5.93996,0,0,0,,0.362486744,1387.192213,0.372883201,-36.52352333,-6.148782708,0,N/A,0,N/A,0,N/A,468.3217917,109.2317917,359.09,0,882.3468979,0.2368005245,,,
01/02/2025,3938.37,3938.37,3838.81,99.56,0,0,0,804.86,0.2043637342,754.56,0.1965609134,50.3,0.5052229811,0,N/A,0,N/A,0,N/A,600.53,181.32,419.21,0,204.33,0.05188186991,804.86,,
01/03/2025,3938.37,3938.37,3838.81,99.56,0,0,0,797.5,0.2024949408,753.06,0.1961701673,44.44,0.4463640016,0,N/A,0,N/A,0,N/A,604.54,185.33,419.21,0,192.96,0.04899488875,797.5,,
