Datas,Motivo,Valor ($),Volume (T),NS K$,Markets,Products,SOG,KPI,Source,Owner,Motivo_Index,Meta ($)
2023-01-01 00:00:00.000000000,Avg FSP,1195.66,5701.65,2569.28,CBT-Federated Coop,117 | YOGURT | 21356 | OIKOS | 21356720121228 | OIKOS 100GX12(2) | BLUEBERRY,Trade & Execution - AVG FSP,Avg FSP,Nielsen,RGM,6,5275.4
2023-01-01 17:33:41.621621621,A&P Spent,2704.71,3471.69,6625.94,CBT-Federated Coop,117 | YOGURT | 21064 | DANONE YOGHURT | 210643017P8259 | DANONE KIDS DRINK 93MLX6(8) | STRAWBERRY,Marketing,A&P Spent,Tagetik,Marketing team,3,13815.58
2023-01-02 11:07:23.243243243,Market trend L12W,5432.81,7797.05,5765.43,CBT-Federated Coop,117 | YOGURT | 21356 | OIKOS | 21356720121042 | OIKOS 100GX4(6) | VANILLA,External Factors,Market trend L12W,Nielsen,SIA,5,11670.96
2023-01-03 04:41:04.864864864,Avg FSP,3248.06,2896.12,4411.65,CBT-Federated Coop,117 | YOGURT | 21450 | YOGURT LAND | 21450345678901 | YOGURT LAND 100G (12) | STRAWBERRY,Trade & Execution - AVG FSP,Avg FSP,Nielsen,RGM,6,5275.4
2023-01-03 22:14:46.486486486,Avg FSP,2194.42,7392.02,7361.63,CBT-Federated Coop,117 | YOGURT | 21064 | DANONE YOGHURT | 210643000P6257 | DANONE TWO GOOD DAIRY YOGURT 95GX4(6),Trade & Execution - AVG FSP,Avg FSP,Nielsen,RGM,6,5275.4
2023-01-04 15:48:28.108108108,Avg FSP,4620.86,2241.95,3831.91,CBT-Federated Coop,117 | YOGURT | 21356 | OIKOS | 21356720122065 | OIKOS 750GX1(6) | PEACH,Trade & Execution - AVG FSP,Avg FSP,Nielsen,RGM,6,5275.4
2023-01-05 09:22:09.729729729,Distribution - DV,1714.65,5286.74,7113.63,CBT-Federated Coop,117 | YOGURT | 21064 | DANONE YOGHURT | 210641910O6214 | DANONE KIDS YOGURT 180G (4),Distribution,Made up KPI of sum of DV per sku of the PG,Nielsen,Marketing team,1,14263.69
2023-01-06 02:55:51.351351351,A&P Spent,4169.87,6407.97,2490.42,CBT-Federated Coop,117 | YOGURT | 21450 | YOGURT LAND | 21450456789012 | YOGURT LAND 250G (8),Marketing,A&P Spent,Tagetik,Marketing team,3,13815.58
2023-01-06 20:29:32.972972973,Market trend L12W,2330.15,2581.76,6009.19,CBT-Federated Coop,117 | YOGURT | 21356 | OIKOS | 21356720121228 | OIKOS 100GX12(2) | BLUEBERRY,External Factors,Market trend L12W,Nielsen,SIA,5,11670.96
2023-01-07 14:03:14.594594594,A&P Spent,4624.79,5991.16,3853.27,CBT-Federated Coop,117 | YOGURT | 21356 | OIKOS | 21356720122173 | OIKOS 650GX1(6),Marketing,A&P Spent,Tagetik,Marketing team,3,13815.58
2023-01-08 07:36:56.216216216,Share of Display,3151.42,2022.0,3825.88,CBT-Federated Coop,117 | YOGURT | 21400 | DANONE | 21400123456789 | DANONE YOGHURT 500G (4) | MANGO,Trade & Execution - Share of Display,Share of Display,Nielsen,Shopper Mktg,7,4472.1
2023-01-09 01:10:37.837837837,A&P Spent,2048.66,6272.71,5902.68,CBT-Federated Coop,117 | YOGURT | 21080 | ACTIVIA | 21080719613029 | ACTIVIA 100GX12(4),Marketing,A&P Spent,Tagetik,Marketing team,3,13815.58
2023-01-09 18:44:19.459459459,Avg FSP,1972.72,1806.06,931.97,CBT-Federated Coop,117 | YOGURT | 21356 | OIKOS | 21356720121228 | OIKOS 100GX12(2),Trade & Execution - AVG FSP,Avg FSP,Nielsen,RGM,6,5275.4
2023-01-10 12:18:01.081081081,Avg FSP,6238.23,4523.9,1821.22,CBT-Federated Coop,117 | YOGURT | 21356 | OIKOS | 213567201P4254 | OIKOS 1.5KGX1(4) | STRAWBERRY,Trade & Execution - AVG FSP,Avg FSP,Nielsen,RGM,6,5275.4
2023-01-11 05:51:42.702702702,Market trend L12W,1262.45,5991.41,4134.74,CBT-Federated Coop,117 | YOGURT | 21356 | OIKOS | 21356720122173 | OIKOS 650GX1(6),External Factors,Market trend L12W,Nielsen,SIA,5,11670.96
2023-01-11 23:25:24.324324324,Avg FSP,6580.11,1962.77,458.47,CBT-Federated Coop,117 | YOGURT | 21080 | ACTIVIA | 21080719613029 | ACTIVIA 100GX12(4) | STRAWBERRY,Trade & Execution - AVG FSP,Avg FSP,Nielsen,RGM,6,5275.4
2023-01-12 16:59:05.945945946,Avg FSP,6398.55,6900.81,5063.3,CBT-Federated Coop,117 | YOGURT | 21356 | OIKOS | 21356720121042 | OIKOS 100GX4(6),Trade & Execution - AVG FSP,Avg FSP,Nielsen,RGM,6,5275.4
2023-01-13 10:32:47.567567567,Distribution - DV,2872.84,6658.08,3010.4,CBT-Federated Coop,117 | YOGURT | 21080 | ACTIVIA | 21080719613029 | ACTIVIA 100GX12(4),Distribution,Made up KPI of sum of DV per sku of the PG,Nielsen,Marketing team,1,14263.69
2023-01-14 04:06:29.189189189,Market trend L12W,6104.7,7508.73,2337.19,CBT-Federated Coop,117 | YOGURT | 21064 | DANONE YOGHURT | 210643017P8259 | DANONE KIDS DRINK 93MLX6(8),External Factors,Market trend L12W,Nielsen,SIA,5,11670.96
2023-01-14 21:40:10.810810811,Avg FSP,6274.33,4423.88,3673.8,CBT-Federated Coop,117 | YOGURT | 21064 | DANONE YOGHURT | 210643017P8259 | DANONE KIDS DRINK 93MLX6(8) | STRAWBERRY,Trade & Execution - AVG FSP,Avg FSP,Nielsen,RGM,6,5275.4
2023-01-15 15:13:52.432432432,Avg FSP,4795.2,2204.96,6626.96,CBT-Federated Coop,117 | YOGURT | 21450 | YOGURT LAND | 21450345678901 | YOGURT LAND 100G (12),Trade & Execution - AVG FSP,Avg FSP,Nielsen,RGM,6,5275.4
2023-01-16 08:47:34.054054054,Avg FSP,5942.65,6450.56,2053.85,CBT-Federated Coop,117 | YOGURT | 21356 | OIKOS | 21356720121228 | OIKOS 100GX12(2),Trade & Execution - AVG FSP,Avg FSP,Nielsen,RGM,6,5275.4
2023-01-17 02:21:15.675675675,Avg FSP,3421.39,2242.01,4363.91,CBT-Federated Coop,117 | YOGURT | 21064 | DANONE YOGHURT | 210643000P6257 | DANONE TWO GOOD DAIRY YOGURT 95GX4(6),Trade & Execution - AVG FSP,Avg FSP,Nielsen,RGM,6,5275.4
2023-01-17 19:54:57.297297297,Volume of inno,373.62,6982.09,4387.28,CBT-Federated Coop,117 | YOGURT | 21356 | OIKOS | 213567201P4254 | OIKOS 1.5KGX1(4) | STRAWBERRY,Innovation,Volume of inno,Actuals (o9),Marketing team,2,13564.23
2023-01-18 13:28:38.918918919,Share of Display,2416.86,1414.12,2084.14,CBT-Federated Coop,117 | YOGURT | 21400 | DANONE | 21400234567890 | DANONE DRINK 330MLX6 (4),Trade & Execution - Share of Display,Share of Display,Nielsen,Shopper Mktg,7,4472.1
2023-01-19 07:02:20.540540540,Avg RSP (standard price),4222.08,1637.75,331.65,CBT-Federated Coop,117 | YOGURT | 21356 | OIKOS | 21356720121228 | OIKOS 100GX12(2) | BLUEBERRY,Price Impact,Avg RSP (standard price),Nielsen,RGM,4,13256.52
2023-01-20 00:36:02.162162162,Market trend L12W,3736.08,5889.17,5726.87,CBT-Federated Coop,117 | YOGURT | 21450 | YOGURT LAND | 21450456789012 | YOGURT LAND 250G (8) | BLUEBERRY,External Factors,Market trend L12W,Nielsen,SIA,5,11670.96
2023-01-20 18:09:43.783783784,Avg FSP,5282.69,469.34,592.01,CBT-Federated Coop,117 | YOGURT | 21400 | DANONE | 21400234567890 | DANONE DRINK 330MLX6 (4),Trade & Execution - AVG FSP,Avg FSP,Nielsen,RGM,6,5275.4
2023-01-21 11:43:25.405405405,Avg FSP,5152.97,1731.36,3616.62,CBT-Federated Coop,117 | YOGURT | 21356 | OIKOS | 21356720122173 | OIKOS 650GX1(6) | MANGO,Trade & Execution - AVG FSP,Avg FSP,Nielsen,RGM,6,5275.4
2023-01-22 05:17:07.027027027,Distribution - DV,3227.14,7313.93,1141.39,CBT-Federated Coop,117 | YOGURT | 21080 | ACTIVIA | 21080719613029 | ACTIVIA 100GX12(4) | BLUEBERRY,Distribution,Made up KPI of sum of DV per sku of the PG,Nielsen,Marketing team,1,14263.69
2023-01-22 22:50:48.648648648,Distribution - DV,324.9,2802.29,2205.4,CBT-Federated Coop,117 | YOGURT | 21356 | OIKOS | 21356720121042 | OIKOS 100GX4(6) | VANILLA,Distribution,Made up KPI of sum of DV per sku of the PG,Nielsen,Marketing team,1,14263.69
2023-01-23 16:24:30.270270270,Volume of inno,2391.86,4584.05,551.59,CBT-Federated Coop,117 | YOGURT | 21064 | DANONE YOGHURT | 210643017P8259 | DANONE KIDS DRINK 93MLX6(8),Innovation,Volume of inno,Actuals (o9),Marketing team,2,13564.23
2023-01-24 09:58:11.891891892,Volume of inno,2463.6,7657.92,1866.47,CBT-Federated Coop,117 | YOGURT | 21064 | DANONE YOGHURT | 210643000P6257 | DANONE TWO GOOD DAIRY YOGURT 95GX4(6),Innovation,Volume of inno,Actuals (o9),Marketing team,2,13564.23
2023-01-25 03:31:53.513513513,Share of Display,7464.52,5981.93,1575.49,CBT-Federated Coop,117 | YOGURT | 21356 | OIKOS | 213567201P4254 | OIKOS 1.5KGX1(4) | STRAWBERRY,Trade & Execution - Share of Display,Share of Display,Nielsen,Shopper Mktg,7,4472.1
2023-01-25 21:05:35.135135135,Distribution - DV,680.38,4600.18,1050.12,CBT-Federated Coop,117 | YOGURT | 21400 | DANONE | 21400123456789 | DANONE YOGHURT 500G (4) | MANGO,Distribution,Made up KPI of sum of DV per sku of the PG,Nielsen,Marketing team,1,14263.69
2023-01-26 14:39:16.756756757,Avg RSP (standard price),2765.37,1721.84,7095.7,CBT-Federated Coop,117 | YOGURT | 21356 | OIKOS | 21356720122065 | OIKOS 750GX1(6),Price Impact,Avg RSP (standard price),Nielsen,RGM,4,13256.52
2023-01-27 08:12:58.378378378,Avg FSP,6690.72,6254.94,437.43,CBT-Federated Coop,117 | YOGURT | 21400 | DANONE | 21400123456789 | DANONE YOGHURT 500G (4) | MANGO,Trade & Execution - AVG FSP,Avg FSP,Nielsen,RGM,6,5275.4
2023-01-28 01:46:40.000000000,Share of Display,4145.43,5370.88,2410.78,CBT-Federated Coop,117 | YOGURT | 21064 | DANONE YOGHURT | 210641910O6214 | DANONE DRINK 190MLX1 (8) | BLUEBERRY,Trade & Execution - Share of Display,Share of Display,Nielsen,Shopper Mktg,7,4472.1
2023-01-28 19:20:21.621621622,Share of Display,2531.44,1378.87,2667.69,CBT-Federated Coop,117 | YOGURT | 21356 | OIKOS | 21356720122173 | OIKOS 650GX1(6) | MANGO,Trade & Execution - Share of Display,Share of Display,Nielsen,Shopper Mktg,7,4472.1
2023-01-29 12:54:03.243243243,Distribution - DV,408.52,1273.76,7244.89,CBT-Federated Coop,117 | YOGURT | 21080 | ACTIVIA | 21080719616035 | ACTIVIA 650GX1(6) | MANGO,Distribution,Made up KPI of sum of DV per sku of the PG,Nielsen,Marketing team,1,14263.69
2023-01-30 06:27:44.864864865,Volume of inno,5101.82,4180.72,2982.35,CBT-Federated Coop,117 | YOGURT | 21064 | DANONE YOGHURT | 210641910O6214 | DANONE KIDS YOGURT 180G (4),Innovation,Volume of inno,Actuals (o9),Marketing team,2,13564.23
2023-01-31 00:01:26.486486486,A&P Spent,1742.53,708.25,7011.52,CBT-Federated Coop,117 | YOGURT | 21450 | YOGURT LAND | 21450456789012 | YOGURT LAND 250G (8) | BLUEBERRY,Marketing,A&P Spent,Tagetik,Marketing team,3,13815.58
2023-01-31 17:35:08.108108108,Avg FSP,3637.39,980.62,2722.69,CBT-Federated Coop,117 | YOGURT | 21080 | ACTIVIA | 21080719613029 | ACTIVIA 100GX12(4) | BLUEBERRY,Trade & Execution - AVG FSP,Avg FSP,Nielsen,RGM,6,5275.4
2023-02-01 11:08:49.729729730,A&P Spent,4652.35,6237.41,7696.37,CBT-Federated Coop,117 | YOGURT | 21064 | DANONE YOGHURT | 210643000P6257 | DANONE TWO GOOD DAIRY YOGURT 625G (6),Marketing,A&P Spent,Tagetik,Marketing team,3,13815.58
2023-02-02 04:42:31.351351351,Share of Display,3579.45,3530.53,5609.33,CBT-Federated Coop,117 | YOGURT | 21356 | OIKOS | 21356720121228 | OIKOS 100GX12(2) | BLUEBERRY,Trade & Execution - Share of Display,Share of Display,Nielsen,Shopper Mktg,7,4472.1
2023-02-02 22:16:12.972972973,Volume of inno,1007.29,6024.01,6000.22,CBT-Federated Coop,117 | YOGURT | 21356 | OIKOS | 21356720121228 | OIKOS 100GX12(2) | BLUEBERRY,Innovation,Volume of inno,Actuals (o9),Marketing team,2,13564.23
2023-02-03 15:49:54.594594595,Share of Display,3738.49,1946.36,450.7,CBT-Federated Coop,117 | YOGURT | 21356 | OIKOS | 21356132094204 | OIKOS DRINK 190MLX1 (8) | STRAWBERRY,Trade & Execution - Share of Display,Share of Display,Nielsen,Shopper Mktg,7,4472.1
2023-02-04 09:23:36.216216216,A&P Spent,4500.69,719.22,4605.21,CBT-Federated Coop,117 | YOGURT | 21450 | YOGURT LAND | 21450456789012 | YOGURT LAND 250G (8) | BLUEBERRY,Marketing,A&P Spent,Tagetik,Marketing team,3,13815.58
2023-02-05 02:57:17.837837838,Share of Display,6041.63,7667.55,6161.72,CBT-Federated Coop,117 | YOGURT | 21080 | ACTIVIA | 21080719613029 | ACTIVIA 100GX12(4) | STRAWBERRY,Trade & Execution - Share of Display,Share of Display,Nielsen,Shopper Mktg,7,4472.1
2023-02-05 20:30:59.459459459,Distribution - DV,7511.17,1397.38,2566.23,CBT-Federated Coop,117 | YOGURT | 21450 | YOGURT LAND | 21450456789012 | YOGURT LAND 250G (8),Distribution,Made up KPI of sum of DV per sku of the PG,Nielsen,Marketing team,1,14263.69
2023-02-06 14:04:41.081081081,A&P Spent,2525.41,1399.58,6304.43,CBT-Federated Coop,117 | YOGURT | 21064 | DANONE YOGHURT | 210643000P6257 | DANONE TWO GOOD DAIRY YOGURT 625G (6),Marketing,A&P Spent,Tagetik,Marketing team,3,13815.58
2023-02-07 07:38:22.702702703,Volume of inno,1067.96,6098.29,3799.42,CBT-Federated Coop,117 | YOGURT | 21080 | ACTIVIA | 21080719613029 | ACTIVIA 100GX12(4),Innovation,Volume of inno,Actuals (o9),Marketing team,2,13564.23
2023-02-08 01:12:04.324324324,Volume of inno,4507.35,1616.46,2454.88,CBT-Federated Coop,117 | YOGURT | 21064 | DANONE YOGHURT | 210641910O6214 | DANONE DRINK 190MLX1 (8),Innovation,Volume of inno,Actuals (o9),Marketing team,2,13564.23
2023-02-08 18:45:45.945945946,Share of Display,1616.26,2243.57,3215.11,CBT-Federated Coop,117 | YOGURT | 21356 | OIKOS | 21356720122173 | OIKOS 650GX1(6),Trade & Execution - Share of Display,Share of Display,Nielsen,Shopper Mktg,7,4472.1
2023-02-09 12:19:27.567567568,Avg RSP (standard price),3278.65,6694.15,2346.15,CBT-Federated Coop,117 | YOGURT | 21080 | ACTIVIA | 21080719616035 | ACTIVIA 650GX1(6) | MANGO,Price Impact,Avg RSP (standard price),Nielsen,RGM,4,13256.52
2023-02-10 05:53:09.189189189,Share of Display,2285.6,277.67,5279.39,CBT-Federated Coop,117 | YOGURT | 21064 | DANONE YOGHURT | 210643000P6257 | DANONE TWO GOOD DAIRY YOGURT 95GX4(6),Trade & Execution - Share of Display,Share of Display,Nielsen,Shopper Mktg,7,4472.1
2023-02-10 23:26:50.810810811,Share of Display,6346.57,349.26,2015.07,CBT-Federated Coop,117 | YOGURT | 21400 | DANONE | 21400234567890 | DANONE DRINK 330MLX6 (4) | PEACH,Trade & Execution - Share of Display,Share of Display,Nielsen,Shopper Mktg,7,4472.1
2023-02-11 17:00:32.432432432,A&P Spent,6253.95,5262.64,7127.19,CBT-Federated Coop,117 | YOGURT | 21356 | OIKOS | 21356720121042 | OIKOS 100GX4(6),Marketing,A&P Spent,Tagetik,Marketing team,3,13815.58
2023-02-12 10:34:14.054054054,Share of Display,2235.0,1988.24,144.02,CBT-Federated Coop,117 | YOGURT | 21450 | YOGURT LAND | 21450345678901 | YOGURT LAND 100G (12),Trade & Execution - Share of Display,Share of Display,Nielsen,Shopper Mktg,7,4472.1
2023-02-13 04:07:55.675675676,Distribution - DV,4883.51,2785.5,7220.35,CBT-Federated Coop,117 | YOGURT | 21356 | OIKOS | 21356720122065 | OIKOS 750GX1(6) | PEACH,Distribution,Made up KPI of sum of DV per sku of the PG,Nielsen,Marketing team,1,14263.69
2023-02-13 21:41:37.297297297,Volume of inno,529.95,6189.95,7786.49,CBT-Federated Coop,117 | YOGURT | 21064 | DANONE YOGHURT | 210643017P8259 | DANONE KIDS DRINK 93MLX6(8),Innovation,Volume of inno,Actuals (o9),Marketing team,2,13564.23
2023-02-14 15:15:18.918918919,Avg RSP (standard price),4519.43,3994.92,343.5,CBT-Federated Coop,117 | YOGURT | 21080 | ACTIVIA | 21080719616035 | ACTIVIA 650GX1(6),Price Impact,Avg RSP (standard price),Nielsen,RGM,4,13256.52
2023-02-15 08:49:00.540540541,A&P Spent,2880.64,5557.8,3031.7,CBT-Federated Coop,117 | YOGURT | 21080 | ACTIVIA | 21080719613029 | ACTIVIA 100GX12(4),Marketing,A&P Spent,Tagetik,Marketing team,3,13815.58
2023-02-16 02:22:42.162162162,Avg FSP,5816.87,6553.75,2050.72,CBT-Federated Coop,117 | YOGURT | 21080 | ACTIVIA | 21080719613029 | ACTIVIA 100GX12(4),Trade & Execution - AVG FSP,Avg FSP,Nielsen,RGM,6,5275.4
2023-02-16 19:56:23.783783784,Avg FSP,3003.09,590.08,6682.58,CBT-Federated Coop,117 | YOGURT | 21080 | ACTIVIA | 21080719613029 | ACTIVIA 100GX12(4) | STRAWBERRY,Trade & Execution - AVG FSP,Avg FSP,Nielsen,RGM,6,5275.4
2023-02-17 13:30:05.405405405,Avg RSP (standard price),2985.19,195.45,6815.72,CBT-Federated Coop,117 | YOGURT | 21356 | OIKOS | 21356132094204 | OIKOS DRINK 190MLX1 (8) | STRAWBERRY,Price Impact,Avg RSP (standard price),Nielsen,RGM,4,13256.52
2023-02-18 07:03:47.027027027,Share of Display,7118.55,4926.16,5552.73,CBT-Federated Coop,117 | YOGURT | 21400 | DANONE | 21400234567890 | DANONE DRINK 330MLX6 (4),Trade & Execution - Share of Display,Share of Display,Nielsen,Shopper Mktg,7,4472.1
2023-02-19 00:37:28.648648649,Share of Display,1888.08,1060.0,451.16,CBT-Federated Coop,117 | YOGURT | 21400 | DANONE | 21400123456789 | DANONE YOGHURT 500G (4) | MANGO,Trade & Execution - Share of Display,Share of Display,Nielsen,Shopper Mktg,7,4472.1
2023-02-19 18:11:10.270270270,Market trend L12W,7636.09,4637.47,4201.83,CBT-Federated Coop,117 | YOGURT | 21080 | ACTIVIA | 21080719616035 | ACTIVIA 650GX1(6) | MANGO,External Factors,Market trend L12W,Nielsen,SIA,5,11670.96
2023-02-20 11:44:51.891891892,Avg FSP,3805.04,6718.45,5665.87,CBT-Federated Coop,117 | YOGURT | 21356 | OIKOS | 21356132094204 | OIKOS DRINK 190MLX1 (8) | STRAWBERRY,Trade & Execution - AVG FSP,Avg FSP,Nielsen,RGM,6,5275.4
2023-02-21 05:18:33.513513514,A&P Spent,534.77,2499.68,4994.15,CBT-Federated Coop,117 | YOGURT | 21080 | ACTIVIA | 21080719616035 | ACTIVIA 650GX1(6) | MANGO,Marketing,A&P Spent,Tagetik,Marketing team,3,13815.58
2023-02-21 22:52:15.135135135,Market trend L12W,7711.37,6464.21,1987.13,CBT-Federated Coop,117 | YOGURT | 21400 | DANONE | 21400123456789 | DANONE YOGHURT 500G (4) | MANGO,External Factors,Market trend L12W,Nielsen,SIA,5,11670.96
2023-02-22 16:25:56.756756757,Volume of inno,6885.52,3211.41,5045.74,CBT-Federated Coop,117 | YOGURT | 21064 | DANONE YOGHURT | 210641910O6214 | DANONE KIDS YOGURT 180G (4),Innovation,Volume of inno,Actuals (o9),Marketing team,2,13564.23
2023-02-23 09:59:38.378378379,Avg FSP,1750.15,7552.54,1818.38,CBT-Federated Coop,117 | YOGURT | 21400 | DANONE | 21400123456789 | DANONE YOGHURT 500G (4) | MANGO,Trade & Execution - AVG FSP,Avg FSP,Nielsen,RGM,6,5275.4
2023-02-24 03:33:20.000000000,Volume of inno,8538.47,3589.97,2823.29,CBT-Federated Coop,117 | YOGURT | 21064 | DANONE YOGHURT | 210643017P8259 | DANONE KIDS DRINK 93MLX6(8) | PEACH,Innovation,Volume of inno,Actuals (o9),Marketing team,2,13564.23
2023-02-24 21:07:01.621621622,Avg RSP (standard price),2668.56,2409.97,3387.0,CBT-Federated Coop,117 | YOGURT | 21356 | OIKOS | 21356720122065 | OIKOS 750GX1(6) | PEACH,Price Impact,Avg RSP (standard price),Nielsen,RGM,4,13256.52
2023-02-25 14:40:43.243243244,A&P Spent,1671.68,2134.14,7196.62,CBT-Federated Coop,117 | YOGURT | 21080 | ACTIVIA | 21080719613029 | ACTIVIA 100GX12(4) | STRAWBERRY,Marketing,A&P Spent,Tagetik,Marketing team,3,13815.58
2023-02-26 08:14:24.864864865,Avg FSP,4903.12,5709.89,5409.58,CBT-Federated Coop,117 | YOGURT | 21450 | YOGURT LAND | 21450345678901 | YOGURT LAND 100G (12) | STRAWBERRY,Trade & Execution - AVG FSP,Avg FSP,Nielsen,RGM,6,5275.4
2023-02-27 01:48:06.486486487,Volume of inno,2919.16,6279.9,5551.53,CBT-Federated Coop,117 | YOGURT | 21080 | ACTIVIA | 21080719616035 | ACTIVIA 650GX1(6),Innovation,Volume of inno,Actuals (o9),Marketing team,2,13564.23
2023-02-27 19:21:48.108108108,Avg RSP (standard price),2136.68,1711.73,526.61,CBT-Federated Coop,117 | YOGURT | 21450 | YOGURT LAND | 21450456789012 | YOGURT LAND 250G (8),Price Impact,Avg RSP (standard price),Nielsen,RGM,4,13256.52
2023-02-28 12:55:29.729729730,Market trend L12W,6471.87,6502.2,8097.83,CBT-Federated Coop,117 | YOGURT | 21356 | OIKOS | 21356132094204 | OIKOS DRINK 190MLX1 (8),External Factors,Market trend L12W,Nielsen,SIA,5,11670.96
