ds,yhat,yhat_lower,yhat_upper,Type
2023-01-01,2104.2898203619857,1316.3518619050267,2899.0554081217524,Historical
2023-01-02,2023.6253939735157,1261.398850254114,2868.3969155968234,Historical
2023-01-03,2203.2445324366445,1478.0566739003914,3041.8410118797988,Historical
2023-01-04,2508.5380159433316,1765.8300020840666,3306.367774880493,Historical
2023-01-05,2511.0868433202368,1722.174851218618,3274.711791110093,Historical
2023-01-06,2645.6983692389986,1866.1258674834603,3452.7313584436242,Historical
2023-01-07,3385.694802512408,2647.4887458715752,4178.850568830585,Historical
2023-01-08,3767.2841663212826,2892.993576946595,4518.787236991078,Historical
2023-01-09,3781.952974301191,2999.786225152338,4601.095066114476,Historical
2023-01-10,3789.5258227723534,3018.586185274544,4621.005581900106,Historical
2023-01-11,3666.3937858404083,2876.461825241448,4489.311181496214,Historical
2023-01-12,3003.5209081059575,2222.557624573384,3740.739563230966,Historical
2024-01-01,3383.7142108413295,2603.7806846161297,4164.433921191319,Historical
2024-01-02,3392.625060391668,2601.336285885512,4176.466435683148,Historical
2024-01-03,3574.0099680734193,2759.2609482217426,4353.3482902816295,Historical
2024-01-04,3502.5767183440253,2758.5398394201793,4302.485265323174,Historical
2024-01-05,3614.5886548122617,2813.34550889581,4331.990548293508,Historical
2024-01-06,4383.127277326901,3551.9923108039566,5192.633321009494,Historical
2024-01-07,4842.487293619057,4081.7726753663055,5562.234514561703,Historical
2024-01-08,4980.64241424175,4259.046908815443,5771.8243185596175,Historical
2024-01-09,5152.4246694476715,4299.740140779974,5950.399570607694,Historical
2024-01-10,5227.915402382048,4432.13296421174,6028.978145543109,Historical
2024-01-11,4790.652278476218,4071.589903344309,5591.035823191947,Historical
2024-01-12,4294.238561660333,3530.9186279772343,5061.207653960155,Historical
2025-01-01,4801.836857011014,4008.600556725721,5594.69942363819,Historical
2025-01-02,4594.437981135206,3845.5440480585953,5369.248024387708,Historical
2025-01-03,4619.783623190864,3830.3780909530396,5439.85386510835,Historical
2025-01-04,5352.833354500269,4547.854729669907,6105.567473810357,Historical
2025-01-05,5828.065034741056,4963.979735394419,6549.00003548605,Historical
2025-01-06,6031.952239354714,5260.381201559437,6886.426889909062,Historical
2025-01-07,6316.20460994242,5546.767623047209,7167.319851870569,Historical
2025-01-08,6546.267219735359,5814.105645616379,7320.712091136183,Historical
2025-01-09,6299.679881872926,5480.416161290026,7094.420771551635,Historical
2025-01-10,6022.877988516106,5270.347165887667,6815.951799174183,Historical
2025-01-11,6206.0803172199885,5384.242256948309,7013.167422263052,Historical
2025-01-12,5907.106473262991,5171.599563234735,6678.419766607371,Historical
2025-01-31,-17303.41814164195,-18075.294330293975,-16441.870846724723,Forecast
2025-02-28,5615.550491916813,4841.490596451675,6468.510738434188,Forecast
2025-03-31,8631.517655056203,7852.625259641526,9395.157339815798,Forecast
2025-04-30,7073.371192068774,6276.64453998398,7839.044114325277,Forecast
2025-05-31,3708.9025277220953,2899.7454450652513,4510.042240108973,Forecast
2025-06-30,-256.8112892409408,-1050.9501986493158,540.5809838208829,Forecast
2025-07-31,-2181.3525768295185,-2937.7587641149303,-1383.8058258160077,Forecast
2025-08-31,-1099.6358105727631,-1854.4589467188239,-265.8743767266574,Forecast
2025-09-30,4003.76702031281,3204.6893656139587,4855.060300623135,Forecast
2025-10-31,12020.29269134298,11226.159963750477,12798.623794925434,Forecast
2025-11-30,21604.616322839083,20858.03396575457,22389.576362199707,Forecast
2025-12-31,6263.412097402506,5459.857761966261,7033.189051576851,Forecast
