DATA,Metric,Value
01/01/2023,MR08,
01/02/2023,MR08,
01/03/2023,MR08,
01/04/2023,MR08,
01/05/2023,MR08,
01/06/2023,MR08,
01/07/2023,MR08,
01/08/2023,MR08,
01/09/2023,MR08,
01/10/2023,MR08,
01/11/2023,MR08,
01/12/2023,MR08,
01/01/2024,MR08,3310.0
01/12/2024,MR08,3411.0
01/01/2025,MR08,3492.79
01/04/2024,MR08,3592.0
01/02/2024,MR08,3726.0
01/02/2025,MR08,3938.37
01/03/2025,MR08,3938.37
01/09/2024,MR08,4181.0
01/03/2024,MR08,4363.0
01/05/2024,MR08,4474.0
01/10/2024,MR08,4523.0
01/11/2024,MR08,4575.0
01/04/2025,MR08,4811.67
01/08/2024,MR08,5335.0
01/05/2025,MR08,5340.85
01/07/2024,MR08,5355.0
01/06/2024,MR08,5476.0
01/12/2025,MR08,5629.02
01/06/2025,MR08,6208.52
01/07/2025,MR08,6684.98
01/11/2025,MR08,6751.59
01/10/2025,MR08,6979.19
01/09/2025,MR08,7011.7
01/08/2025,MR08,7212.95
01/01/2023,GROSS MARGIN,2829.150552
01/02/2023,GROSS MARGIN,2447.272541
01/03/2023,GROSS MARGIN,2295.871089
01/04/2023,GROSS MARGIN,2373.928234
01/05/2023,GROSS MARGIN,2532.797782
01/06/2023,GROSS MARGIN,2417.144237
01/07/2023,GROSS MARGIN,2289.634975
01/08/2023,GROSS MARGIN,3296.214167
01/09/2023,GROSS MARGIN,3104.747172
01/10/2023,GROSS MARGIN,3622.148172
01/11/2023,GROSS MARGIN,3953.060525
01/12/2023,GROSS MARGIN,3701.290771
01/01/2024,GROSS MARGIN,3323.71439
01/12/2024,GROSS MARGIN,3388.343808
01/01/2025,GROSS MARGIN,3492.79
01/04/2024,GROSS MARGIN,3591.86386
01/02/2024,GROSS MARGIN,3726.11885
01/02/2025,GROSS MARGIN,3938.37
01/03/2025,GROSS MARGIN,3938.37
01/09/2024,GROSS MARGIN,4525.40201
01/03/2024,GROSS MARGIN,4363.46389
01/05/2024,GROSS MARGIN,4474.31717
01/10/2024,GROSS MARGIN,4929.22103
01/11/2024,GROSS MARGIN,3926.16372
01/04/2025,GROSS MARGIN,4811.67
01/08/2024,GROSS MARGIN,5117.71501
01/05/2025,GROSS MARGIN,5340.85
01/07/2024,GROSS MARGIN,5354.60895
01/06/2024,GROSS MARGIN,5475.53323
01/12/2025,GROSS MARGIN,5629.02
01/06/2025,GROSS MARGIN,6208.52
01/07/2025,GROSS MARGIN,6684.98
01/11/2025,GROSS MARGIN,6751.59
01/10/2025,GROSS MARGIN,6979.19
01/09/2025,GROSS MARGIN,7011.7
01/08/2025,GROSS MARGIN,7212.95
01/01/2023,CONSULTING & DATA,2791.578
01/02/2023,CONSULTING & DATA,2409.7
01/03/2023,CONSULTING & DATA,2258.2985
01/04/2023,CONSULTING & DATA,2338.7298
01/05/2023,CONSULTING & DATA,2497.5994
01/06/2023,CONSULTING & DATA,2381.9458
01/07/2023,CONSULTING & DATA,2244.6491
01/08/2023,CONSULTING & DATA,3251.2283
01/09/2023,CONSULTING & DATA,3059.7613
01/10/2023,CONSULTING & DATA,3577.8015
01/11/2023,CONSULTING & DATA,3908.7139
01/12/2023,CONSULTING & DATA,3498.7326
01/01/2024,CONSULTING & DATA,3312.25876
01/12/2024,CONSULTING & DATA,3310.283808
01/01/2025,CONSULTING & DATA,3394.13
01/04/2024,CONSULTING & DATA,3578.56073
01/02/2024,CONSULTING & DATA,3720.17889
01/02/2025,CONSULTING & DATA,3838.81
01/03/2025,CONSULTING & DATA,3838.81
01/09/2024,CONSULTING & DATA,4506.43423
01/03/2024,CONSULTING & DATA,4344.93851
01/05/2024,CONSULTING & DATA,4465.23392
01/10/2024,CONSULTING & DATA,4914.71038
01/11/2024,CONSULTING & DATA,3914.31151
01/04/2025,CONSULTING & DATA,4701.76
01/08/2024,CONSULTING & DATA,5102.77476
01/05/2025,CONSULTING & DATA,5228.69
01/07/2024,CONSULTING & DATA,5334.9232
01/06/2024,CONSULTING & DATA,5453.64301
01/12/2025,CONSULTING & DATA,5588.52
01/06/2025,CONSULTING & DATA,6141.42
01/07/2025,CONSULTING & DATA,6617.88
01/11/2025,CONSULTING & DATA,6711.09
01/10/2025,CONSULTING & DATA,6935.54
01/09/2025,CONSULTING & DATA,6967.6
01/08/2025,CONSULTING & DATA,7145.85
01/01/2023,ACTIVATION,38.0
01/02/2023,ACTIVATION,38.0
01/03/2023,ACTIVATION,38.0
01/04/2023,ACTIVATION,35.0
01/05/2023,ACTIVATION,35.0
01/06/2023,ACTIVATION,35.0
01/07/2023,ACTIVATION,45.0
01/08/2023,ACTIVATION,45.0
01/09/2023,ACTIVATION,45.0
01/10/2023,ACTIVATION,44.0
01/11/2023,ACTIVATION,44.0
01/12/2023,ACTIVATION,203.0
01/01/2024,ACTIVATION,11.45563
01/12/2024,ACTIVATION,78.06
01/01/2025,ACTIVATION,98.66
01/04/2024,ACTIVATION,13.30313
01/02/2024,ACTIVATION,5.93996
01/02/2025,ACTIVATION,99.56
01/03/2025,ACTIVATION,99.56
01/09/2024,ACTIVATION,18.96778
01/03/2024,ACTIVATION,18.52538
01/05/2024,ACTIVATION,9.08325
01/10/2024,ACTIVATION,14.51065
01/11/2024,ACTIVATION,11.85221
01/04/2025,ACTIVATION,109.91
01/08/2024,ACTIVATION,14.94025
01/05/2025,ACTIVATION,112.16
01/07/2024,ACTIVATION,19.68575
01/06/2024,ACTIVATION,21.89022
01/12/2025,ACTIVATION,40.5
01/06/2025,ACTIVATION,67.1
01/07/2025,ACTIVATION,67.1
01/11/2025,ACTIVATION,40.5
01/10/2025,ACTIVATION,43.65
01/09/2025,ACTIVATION,44.1
01/08/2025,ACTIVATION,67.1
01/01/2023,CREATION,0.0
01/02/2023,CREATION,0.0
01/03/2023,CREATION,0.0
01/04/2023,CREATION,0.0
01/05/2023,CREATION,0.0
01/06/2023,CREATION,0.0
01/07/2023,CREATION,0.0
01/08/2023,CREATION,0.0
01/09/2023,CREATION,0.0
01/10/2023,CREATION,0.0
01/11/2023,CREATION,0.0
01/12/2023,CREATION,0.0
01/01/2024,CREATION,0.0
01/12/2024,CREATION,0.0
01/01/2025,CREATION,0.0
01/04/2024,CREATION,0.0
01/02/2024,CREATION,0.0
01/02/2025,CREATION,0.0
01/03/2025,CREATION,0.0
01/09/2024,CREATION,0.0
01/03/2024,CREATION,0.0
01/05/2024,CREATION,0.0
01/10/2024,CREATION,0.0
01/11/2024,CREATION,0.0
01/04/2025,CREATION,0.0
01/08/2024,CREATION,0.0
01/05/2025,CREATION,0.0
01/07/2024,CREATION,0.0
01/06/2024,CREATION,0.0
01/12/2025,CREATION,0.0
01/06/2025,CREATION,0.0
01/07/2025,CREATION,0.0
01/11/2025,CREATION,0.0
01/10/2025,CREATION,0.0
01/09/2025,CREATION,0.0
01/08/2025,CREATION,0.0
01/01/2023,Artefact School of Data B2C,
01/02/2023,Artefact School of Data B2C,
01/03/2023,Artefact School of Data B2C,
01/04/2023,Artefact School of Data B2C,
01/05/2023,Artefact School of Data B2C,
01/06/2023,Artefact School of Data B2C,
01/07/2023,Artefact School of Data B2C,
01/08/2023,Artefact School of Data B2C,
01/09/2023,Artefact School of Data B2C,
01/10/2023,Artefact School of Data B2C,
01/11/2023,Artefact School of Data B2C,
01/12/2023,Artefact School of Data B2C,
01/01/2024,Artefact School of Data B2C,0.0
01/12/2024,Artefact School of Data B2C,0.0
01/01/2025,Artefact School of Data B2C,0.0
01/04/2024,Artefact School of Data B2C,0.0
01/02/2024,Artefact School of Data B2C,0.0
01/02/2025,Artefact School of Data B2C,0.0
01/03/2025,Artefact School of Data B2C,0.0
01/09/2024,Artefact School of Data B2C,0.0
01/03/2024,Artefact School of Data B2C,0.0
01/05/2024,Artefact School of Data B2C,0.0
01/10/2024,Artefact School of Data B2C,0.0
01/11/2024,Artefact School of Data B2C,0.0
01/04/2025,Artefact School of Data B2C,0.0
01/08/2024,Artefact School of Data B2C,0.0
01/05/2025,Artefact School of Data B2C,0.0
01/07/2024,Artefact School of Data B2C,0.0
01/06/2024,Artefact School of Data B2C,0.0
01/12/2025,Artefact School of Data B2C,0.0
01/06/2025,Artefact School of Data B2C,0.0
01/07/2025,Artefact School of Data B2C,0.0
01/11/2025,Artefact School of Data B2C,0.0
01/10/2025,Artefact School of Data B2C,0.0
01/09/2025,Artefact School of Data B2C,0.0
01/08/2025,Artefact School of Data B2C,0.0
01/01/2023,OPEN INNOVATION,
01/02/2023,OPEN INNOVATION,
01/03/2023,OPEN INNOVATION,
01/04/2023,OPEN INNOVATION,
01/05/2023,OPEN INNOVATION,
01/06/2023,OPEN INNOVATION,
01/07/2023,OPEN INNOVATION,
01/08/2023,OPEN INNOVATION,
01/09/2023,OPEN INNOVATION,
01/10/2023,OPEN INNOVATION,
01/11/2023,OPEN INNOVATION,
01/12/2023,OPEN INNOVATION,
01/01/2024,OPEN INNOVATION,0.0
01/12/2024,OPEN INNOVATION,0.0
01/01/2025,OPEN INNOVATION,0.0
01/04/2024,OPEN INNOVATION,0.0
01/02/2024,OPEN INNOVATION,0.0
01/02/2025,OPEN INNOVATION,0.0
01/03/2025,OPEN INNOVATION,0.0
01/09/2024,OPEN INNOVATION,0.0
01/03/2024,OPEN INNOVATION,0.0
01/05/2024,OPEN INNOVATION,0.0
01/10/2024,OPEN INNOVATION,0.0
01/11/2024,OPEN INNOVATION,0.0
01/04/2025,OPEN INNOVATION,0.0
01/08/2024,OPEN INNOVATION,0.0
01/05/2025,OPEN INNOVATION,0.0
01/07/2024,OPEN INNOVATION,0.0
01/06/2024,OPEN INNOVATION,0.0
01/12/2025,OPEN INNOVATION,0.0
01/06/2025,OPEN INNOVATION,0.0
01/07/2025,OPEN INNOVATION,0.0
01/11/2025,OPEN INNOVATION,0.0
01/10/2025,OPEN INNOVATION,0.0
01/09/2025,OPEN INNOVATION,0.0
01/08/2025,OPEN INNOVATION,0.0
01/01/2023,CONTRIBUTION MARGIN,1187.0
01/02/2023,CONTRIBUTION MARGIN,767.0
01/03/2023,CONTRIBUTION MARGIN,568.0
01/04/2023,CONTRIBUTION MARGIN,633.0
01/05/2023,CONTRIBUTION MARGIN,846.0
01/06/2023,CONTRIBUTION MARGIN,730.0
01/07/2023,CONTRIBUTION MARGIN,571.0
01/08/2023,CONTRIBUTION MARGIN,1417.0
01/09/2023,CONTRIBUTION MARGIN,1055.0
01/10/2023,CONTRIBUTION MARGIN,1515.0
01/11/2023,CONTRIBUTION MARGIN,1817.0
01/12/2023,CONTRIBUTION MARGIN,1595.0
01/01/2024,CONTRIBUTION MARGIN,
01/12/2024,CONTRIBUTION MARGIN,
01/01/2025,CONTRIBUTION MARGIN,617.46
01/04/2024,CONTRIBUTION MARGIN,
01/02/2024,CONTRIBUTION MARGIN,
01/02/2025,CONTRIBUTION MARGIN,804.86
01/03/2025,CONTRIBUTION MARGIN,797.5
01/09/2024,CONTRIBUTION MARGIN,
01/03/2024,CONTRIBUTION MARGIN,
01/05/2024,CONTRIBUTION MARGIN,
01/10/2024,CONTRIBUTION MARGIN,
01/11/2024,CONTRIBUTION MARGIN,
01/04/2025,CONTRIBUTION MARGIN,1649.47
01/08/2024,CONTRIBUTION MARGIN,
01/05/2025,CONTRIBUTION MARGIN,2179.6
01/07/2024,CONTRIBUTION MARGIN,
01/06/2024,CONTRIBUTION MARGIN,
01/12/2025,CONTRIBUTION MARGIN,2142.74
01/06/2025,CONTRIBUTION MARGIN,2917.12
01/07/2025,CONTRIBUTION MARGIN,3332.15
01/11/2025,CONTRIBUTION MARGIN,3200.73
01/10/2025,CONTRIBUTION MARGIN,3375.87
01/09/2025,CONTRIBUTION MARGIN,3444.45
01/08/2025,CONTRIBUTION MARGIN,3655.39
01/01/2023,CM %,0.42
01/02/2023,CM %,0.31
01/03/2023,CM %,0.25
01/04/2023,CM %,0.27
01/05/2023,CM %,0.33
01/06/2023,CM %,0.3
01/07/2023,CM %,0.25
01/08/2023,CM %,0.43
01/09/2023,CM %,0.34
01/10/2023,CM %,0.42
01/11/2023,CM %,0.46
01/12/2023,CM %,0.43
01/01/2024,CM %,0.3488065251
01/12/2024,CM %,0.2530740436
01/01/2025,CM %,0.1767813124
01/04/2024,CM %,0.3152460814
01/02/2024,CM %,0.362486744
01/02/2025,CM %,0.2043637342
01/03/2025,CM %,0.2024949408
01/09/2024,CM %,0.3629158262
01/03/2024,CM %,0.4182908315
01/05/2024,CM %,0.4063915304
01/10/2024,CM %,0.4215783329
01/11/2024,CM %,0.3054958399
01/04/2025,CM %,0.3428061359
01/08/2024,CM %,0.3826174677
01/05/2025,CM %,0.4080998343
01/07/2024,CM %,0.4259104063
01/06/2024,CM %,0.4799278929
01/12/2025,CM %,0.3806595109
01/06/2025,CM %,0.4698575506
01/07/2025,CM %,0.4984532489
01/11/2025,CM %,0.4740705523
01/10/2025,CM %,0.4837051291
01/09/2025,CM %,0.4912432078
01/08/2025,CM %,0.5067815526
01/01/2023,CONSULTING & DATA_1,1180.0
01/02/2023,CONSULTING & DATA_1,762.0
01/03/2023,CONSULTING & DATA_1,563.0
01/04/2023,CONSULTING & DATA_1,630.0
01/05/2023,CONSULTING & DATA_1,844.0
01/06/2023,CONSULTING & DATA_1,727.0
01/07/2023,CONSULTING & DATA_1,559.0
01/08/2023,CONSULTING & DATA_1,1405.0
01/09/2023,CONSULTING & DATA_1,1047.0
01/10/2023,CONSULTING & DATA_1,1525.0
01/11/2023,CONSULTING & DATA_1,1827.0
01/12/2023,CONSULTING & DATA_1,1447.0
01/01/2024,CONSULTING & DATA_1,1190.34112
01/12/2024,CONSULTING & DATA_1,825.184042
01/01/2025,CONSULTING & DATA_1,564.5
01/04/2024,CONSULTING & DATA_1,1161.48136
01/02/2024,CONSULTING & DATA_1,1387.192213
01/02/2025,CONSULTING & DATA_1,754.56
01/03/2025,CONSULTING & DATA_1,753.06
01/09/2024,CONSULTING & DATA_1,1669.114402
01/03/2024,CONSULTING & DATA_1,1854.459642
01/05/2024,CONSULTING & DATA_1,1851.704836
01/10/2024,CONSULTING & DATA_1,2112.654308
01/11/2024,CONSULTING & DATA_1,1233.316647
01/04/2025,CONSULTING & DATA_1,1588.82
01/08/2024,CONSULTING & DATA_1,1988.929081
01/05/2025,CONSULTING & DATA_1,2116.7
01/07/2024,CONSULTING & DATA_1,2303.361407
01/06/2024,CONSULTING & DATA_1,2648.434389
01/12/2025,CONSULTING & DATA_1,2157.03
01/06/2025,CONSULTING & DATA_1,2899.28
01/07/2025,CONSULTING & DATA_1,3314.31
01/11/2025,CONSULTING & DATA_1,3215.02
01/10/2025,CONSULTING & DATA_1,3391.18
01/09/2025,CONSULTING & DATA_1,3455.14
01/08/2025,CONSULTING & DATA_1,3643.08
01/01/2023,CM %_2,0.53
01/02/2023,CM %_2,0.35
01/03/2023,CM %_2,0.26
01/04/2023,CM %_2,0.28
01/05/2023,CM %_2,0.32
01/06/2023,CM %_2,0.29
01/07/2023,CM %_2,0.22
01/08/2023,CM %_2,0.46
01/09/2023,CM %_2,0.32
01/10/2023,CM %_2,0.41
01/11/2023,CM %_2,0.44
01/12/2023,CM %_2,0.4
01/01/2024,CM %_2,0.3593744349
01/12/2024,CM %_2,0.249278941
01/01/2025,CM %_2,0.1663165524
01/04/2024,CM %_2,0.3245666199
01/02/2024,CM %_2,0.372883201
01/02/2025,CM %_2,0.1965609134
01/03/2025,CM %_2,0.1961701673
01/09/2024,CM %_2,0.3703847249
01/03/2024,CM %_2,0.4268091799
01/05/2024,CM %_2,0.414693803
01/10/2024,CM %_2,0.4298634394
01/11/2024,CM %_2,0.3150788187
01/04/2025,CM %_2,0.3379202682
01/08/2024,CM %_2,0.3897740297
01/05/2025,CM %_2,0.4048241529
01/07/2024,CM %_2,0.4317515586
01/06/2024,CM %_2,0.4856266507
01/12/2025,CM %_2,0.3859751777
01/06/2025,CM %_2,0.4720862602
01/07/2025,CM %_2,0.5008114381
01/11/2025,CM %_2,0.4790607785
01/10/2025,CM %_2,0.4889568801
01/09/2025,CM %_2,0.4958866755
01/08/2025,CM %_2,0.5098175864
01/01/2023,ACTIVATION_3,7.0
01/02/2023,ACTIVATION_3,5.0
01/03/2023,ACTIVATION_3,5.0
01/04/2023,ACTIVATION_3,3.0
01/05/2023,ACTIVATION_3,2.0
01/06/2023,ACTIVATION_3,3.0
01/07/2023,ACTIVATION_3,12.0
01/08/2023,ACTIVATION_3,12.0
01/09/2023,ACTIVATION_3,8.0
01/10/2023,ACTIVATION_3,-10.0
01/11/2023,ACTIVATION_3,-10.0
01/12/2023,ACTIVATION_3,148.0
01/01/2024,ACTIVATION_3,-31.00785333
01/12/2024,ACTIVATION_3,32.31782667
01/01/2025,ACTIVATION_3,52.96
01/04/2024,ACTIVATION_3,-29.16035333
01/02/2024,ACTIVATION_3,-36.52352333
01/02/2025,ACTIVATION_3,50.3
01/03/2025,ACTIVATION_3,44.44
01/09/2024,ACTIVATION_3,-26.77439333
01/03/2024,ACTIVATION_3,-29.26270333
